job_id,title,department,salary_range,telecommuting,has_company_logo,has_questions,fraudulent,country_id,emp_type_id,req_exp_id,req_edu_id,industry_id,function_id
47,Entry Level ,,,False,False,False,False,11,2,6,2,19,3
48,Customer Service Associate ,,,False,True,False,False,1,2,6,4,7,10
49,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
50,Customer Service Team Lead,,,False,True,False,False,1,2,6,4,11,2
51,"Food Production Manager @ PGI, a Food Production Company",Production,,False,True,False,False,1,2,6,4,20,12
52,Administrative/Front Desk ,,,False,True,False,False,1,2,6,4,17,10
53,Payroll Tax Specialist,,,False,True,False,False,1,2,3,1,6,3
54,Technical Project Manager,,,False,False,False,False,1,2,5,2,7,7
55,Outside Sales Professional-St. Cloud,,,False,True,False,False,1,3,3,1,1,3
56,Junior HR Marketing Manager,,,False,True,True,False,12,3,3,1,1,3
57,Outside Sales Professional-Oronoco,,,False,True,False,False,1,3,3,1,1,3
58,Intensive Case Management Worker (Bilingual Essential),ICM,,False,True,True,False,9,3,3,2,4,3
59,Marketing Guru,,,False,True,False,False,1,2,5,2,3,1
60,Product Visual Designer,,,False,True,True,False,1,2,2,5,6,11
61,Graduates: English Teacher Abroad (Conversational),,,False,True,True,False,1,5,6,2,17,13
62,Bulk Ingredient Unloader,General Services,,False,True,True,False,1,2,6,4,21,14
63,English Teacher Abroad,,,False,True,True,False,1,5,3,2,17,3
64,Customer Services Associate - Mail and Document Preparation ,,,False,True,False,False,1,2,6,4,4,2
65,SENIOR FINANCE SOFTWARE RESEARCHER AND ENGINEER,,,False,False,False,False,1,3,3,1,1,3
66,Digital Developer,,60-80,False,True,True,False,2,2,3,5,3,9
67,AS3 / Flash Developer,Engineering,,False,True,True,False,13,3,3,1,1,3
68,Production Supervisor,,,False,False,False,False,1,2,3,1,1,3
69,New Product Development Project Leader,,,False,False,False,False,1,2,3,1,1,3
70,Ruby Automation Engineer & Ruby on Rails Engineer - 2 roles,IT,,False,False,True,False,1,5,3,1,1,7
71,Tasting Adventures Presenter,Marketing,,False,True,False,False,4,3,3,1,1,1
72,Branch Associate,,,False,True,True,False,1,2,5,4,19,2
73,Customer Service Associate - Part Time ,,,False,True,False,False,1,4,6,4,7,2
74,Specialist Obs/Gyn,,,False,False,False,False,8,2,3,1,22,3
75,Call Attendant - Part Time ,,,False,True,False,False,1,4,6,4,23,10
76,Senior Full-Stack Engineer - Ruby on Rails (Technical Lead),Engineering,,False,True,True,False,3,2,4,3,24,9
77,Medical Coder,,65000-70000,False,True,True,False,1,2,5,4,4,5
78,Mid-Senior .NET or Xamarin Developer,,75-115,False,False,False,False,1,2,4,2,3,7
79,200K + MANAGEMENT POSITION FOR EXPERIENCED MERCHANT CASH ADVANCE REPS,,,True,False,False,False,1,2,4,1,19,15
80,Product Manager,,75000-110000,False,True,True,False,2,2,3,2,6,16
81,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
82,Customer Service Technical Specialist ,,,False,True,False,False,1,2,6,4,7,2
83,Edinburgh Fragrance and Beauty Promotional Staff,,,False,True,True,False,4,6,5,5,25,4
84,Mail Processing Associate - General Clerk 1 ,,,False,True,False,False,1,2,6,4,14,2
85,Customer Service Associate,,,False,True,False,False,1,4,6,4,11,2
86,Research Associate,,,False,True,True,False,1,2,5,2,7,17
87,Customer Service Team Lead,,,False,True,False,False,1,2,6,4,4,10
88,Customer Service Associate - On Call ,,,False,True,False,False,1,2,6,4,23,2
89,Sales and Partnerships Intern,Business Development,,False,True,True,False,13,3,3,1,1,3
90,English Teacher Abroad ,,,False,True,True,False,9,5,3,2,17,3
91,Marketing Manager,Marketing,,False,True,False,False,1,2,5,2,2,1
92,Recruitment Consultant,,17000-20000,False,True,False,False,4,2,3,1,26,18
93,WAH Customer Service Repersentative,Human Resources,16000-28000,True,False,False,False,1,2,6,4,14,19
94,Administrative Assistant ,,,False,True,False,False,1,2,6,4,7,10
95,WF17 9LU Customer Service Apprenticeship under NAS 16-18 year olds only!,,,False,True,True,False,4,2,2,4,1,10
96,Senior Marketing Manager,Marketing,,False,True,False,False,1,2,8,3,10,1
97,Software Test Engineer [QA]: Cucumber / LAMP / Automation / Jenkins  / Web Testing / Financial Startup,,,False,True,False,False,4,2,4,2,7,7
98,Customer Service Associate ,,,False,True,False,False,1,2,6,4,14,2
99,IC&E Technician,Oil & Energy,95000-115000,False,True,True,True,1,2,4,4,16,8
100,English Teacher Abroad,,,False,True,True,False,1,5,3,2,17,3
101,CAD Operator,,,False,True,False,False,1,3,3,1,1,3
102,English Teacher Abroad ,,,False,True,True,False,9,5,3,2,17,3
103,Marketing Administrator,Marketplace,15000-18000,True,True,False,False,4,2,6,2,10,1
104,Customer Service Associate - Part Time,,,False,True,False,False,1,2,6,4,7,2
105,Shipping Clerk,,,False,False,False,False,1,3,3,1,1,3
106,Manager of Support Services,Cloud Services,,True,True,True,False,1,2,4,2,10,7
107,Gatwick Customer Service Apprenticeship 16-18 Year Olds Only,,,False,True,True,False,4,2,1,4,1,3
108,Senior Developer at a Startup Investment Studio ,FP,50000-70000,False,True,False,False,4,2,2,5,27,7
109,Software Project Manager,Client Services,,False,False,True,False,1,2,4,1,3,20
110,Director of Client Engagement ,,,False,True,False,False,1,2,8,2,8,6
111,Customer Services Associate - Data Entry ,,,False,True,False,False,1,2,6,4,4,2
112,Customer Service Associate - Part Time,,,False,True,False,False,1,4,6,4,4,2
113,Customer Service Associate - Part Time ,,,False,True,False,False,1,4,6,4,23,2
114,Operations Manager,Operations,45000-60000,False,True,False,False,4,2,4,1,28,6
115,Regional Sales Director - West,Sales,,True,True,False,False,1,3,3,1,1,4
116,Birmingham Business Admin Apprenticeship Under NAS 16-18 Year Olds Only,,,False,True,True,False,4,3,2,4,29,19
117,Executive Assistant,,,False,True,True,False,1,2,6,2,10,10
118,Materials Manager,Materials,,False,True,True,False,1,3,3,1,1,3
119,"Member of Technical Staff, Backend",,,False,True,False,False,1,2,8,1,3,3
120,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
121,Executive Administrative Assistant ,,,False,True,False,False,1,2,5,4,14,10
122,Smart-Meter Expert,tech,,False,True,True,False,3,2,3,1,1,3
123,English Teacher Abroad ,,,False,True,True,False,9,5,3,2,17,3
124,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
125,Customer Service Associate - Part Time ,,,False,True,False,False,1,4,6,4,17,2
126,Marketing Associate,,,False,True,True,False,1,2,5,2,2,1
127,Game & Feature Specialist,,,False,True,False,False,13,2,4,1,10,3
128,Pharmaceutical / Compound Sales Representative- Georgia,Sales,,False,True,True,False,1,2,5,5,30,4
129,Precision Ag Intern Spring 2015 $2000 Per Month,,,False,True,True,False,1,6,1,6,31,3
130,Customer Service Associate ,,,False,True,False,False,1,2,6,4,13,2
131,Customer Service Associate - Call Attendant ,,,False,True,False,False,1,2,6,4,23,2
132,Milton Keynes Fragrance and Beauty Promotional Staff,,,False,True,True,False,4,6,5,5,25,4
133,Senior Java Developer,,30000-40000,False,True,False,False,4,2,4,1,3,11
134,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
135,Senior Business Development Manager,Sales and Business Development,70000-90000,False,True,False,False,4,2,4,2,7,4
136,English Teacher Abroad,,,False,True,True,False,1,5,3,2,17,3
137,Customer Service Associate ,,,False,True,False,False,1,2,6,4,13,2
138,Head of Marketing (option CMO),,,False,True,True,False,3,3,3,1,1,3
139,Customer Service Technical Specialist- Reprographics Specialist ,,,False,True,False,False,1,2,6,4,7,2
140,Customer Service Associate,,,False,True,False,False,1,2,6,4,11,2
141,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
142,Customer Service Associate ,,,False,True,False,False,1,2,6,4,32,2
143,BI Developer,R&D,,False,True,False,False,7,3,3,1,1,3
144,English Teacher Abroad (Conversational),,,False,True,True,False,1,5,6,2,17,13
145,Forward Cap.,,,False,False,False,True,14,3,3,1,1,3
146,.NET Web Developer,Development,10000-14000,False,True,False,False,13,2,5,5,3,8
147,Customer Service Associate ,,,False,True,False,False,1,2,6,4,13,2
148,CNC Programmer,,,False,False,False,False,1,2,3,1,1,3
149,UI/UX developer at StartTech Ventures,Incubation Services,,False,True,True,False,13,2,5,2,3,3
150,Account Executive - Philadelphia,Sales,,False,True,False,False,1,2,4,2,3,4
151,Web Developer,,,False,True,False,False,1,2,5,5,2,7
152,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
153,Digital Sales Manager - High End Decor,,50-110,False,True,False,False,1,2,4,2,33,4
154,Senior Project Manager,Production,28000-45000,False,True,True,False,4,2,4,2,10,12
155,Production Operator $16.50/hr,,0-34300,False,False,False,False,1,5,3,4,34,12
156,Customer Service Professional - Property Management Industry Exp.,,35000-40000,False,False,False,False,1,2,5,4,35,2
157,Choose Your Own Adventure,,,False,True,False,False,1,3,3,1,1,3
158,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
159,Customer Support Professional ,,,True,False,True,False,1,5,3,1,1,2
160,General Laborers,,9-Dec,False,True,True,False,1,3,3,1,1,3
161,Field Services Supervisor,Field Operations,44000-57000,False,False,False,False,1,2,5,4,36,21
162,VP of Engineering ,,,False,False,True,False,1,2,8,2,1,3
163,Account Manager (Fashion),,,False,True,False,False,5,2,4,1,37,22
164,Customer Service Associate - Data Entry ,,,False,True,False,False,1,2,6,4,14,2
165,Marketing Executive ,Marketing,,False,True,False,False,11,2,6,2,13,1
166,Sales and Marketing Intern,,18500-28000,False,True,True,False,4,2,1,2,3,1
167,Exports Area Manager,Sales,,False,False,False,False,13,2,4,3,38,4
168,Entry Level Sales,,55000-75000,False,False,False,False,1,2,6,4,7,4
169,Marketing Sales Assistant,MKT,,False,True,False,False,13,2,6,2,2,10
170,Customer Service Team Lead ,,,False,True,False,False,1,2,6,4,7,2
171,Micro-grid Systems Engineer,tech,,False,True,True,False,3,2,3,1,1,3
172,System Administrator,Technology,30000-35000,False,True,False,False,4,2,5,7,2,7
173,Registrar's in Psychiatry,,,False,True,False,False,5,2,5,1,39,3
174,Technician Instrument & Controls ,Power Plant & Energy,,False,True,True,True,1,2,4,8,40,8
175,Newcastle Fragrance and Beauty Promotional Staff ,,,False,True,True,False,1,2,5,1,25,4
176,Customer Service Associate - Part Time ,,,False,True,False,False,1,4,6,4,7,10
177,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
178,Underwriter,Approvals Department,0-0,False,True,True,False,1,1,6,4,7,3
179,Director of Strategic Planning,Client Services,,False,True,True,False,1,2,8,2,2,23
180,Internal Recruiter,Playfair Capital,20000-40000,False,True,True,False,4,2,4,2,6,19
181,Sales Executive,Sales,,False,False,False,True,15,3,3,1,1,4
182,English Teacher Abroad,,,False,True,True,False,1,5,3,2,17,3
183,Facilities Engineer,,,False,True,True,False,1,2,3,1,16,9
184,"Manager of Patient Care-Women/Families/Baby (Near Oshkosh, WI)",,,False,False,False,False,1,2,4,2,4,5
185,Growth Wunderkind (paid internship),Development ,,False,True,False,False,4,3,3,1,1,3
186,Reading Fragrance/Beauty Promotional Staff,,,False,True,False,False,4,3,3,1,25,3
187,Receptionist ,,,False,True,False,False,1,2,6,4,32,10
188,Medical Scribe (Testing),,,False,True,True,False,1,4,6,6,39,8
189,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
190,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
191,Entry Level Sales,,55000-75000,False,False,False,False,1,2,6,4,7,4
192,Technical Co-Founder,,,False,False,False,False,1,3,3,1,1,3
193,"Manager, Network Engineering ",,,False,False,False,False,1,2,4,2,4,7
194,Sales and Operations Associate,,,False,False,True,False,13,2,6,1,41,3
195,Marketing Manager,,,False,True,False,False,4,3,3,1,1,3
196,Senior Rails Developer,Tech,,False,True,True,False,13,2,4,2,10,7
197,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
198,Software developer,Software development,360000-600000,False,True,True,False,10,2,4,2,6,7
199,Junior Funding Specialist (Sales),Business Development,30000-40000,False,True,True,False,4,2,6,2,7,15
200,Outside Sales Professional,,,False,True,False,False,1,3,3,1,1,3
201,Media Planner,Media,50000-80000,False,True,True,False,2,2,4,1,2,24
202,JAVA Solution Architect ,,,False,True,False,False,16,2,4,2,3,7
203,English Teacher Abroad,,,False,True,True,False,1,5,3,2,17,3
204,Front End Developer,,80000-100000,False,False,False,False,1,2,4,2,3,7
205,Junior Python Developer,Line-Up,,False,True,False,False,14,3,3,1,1,3
206,RMA Coordinator,,,False,True,False,False,1,2,6,2,12,2
207,Baby Care Advisor,,,False,True,False,False,4,2,2,5,14,2
208,Data Entry Clerk II ,,,False,True,False,False,1,2,6,4,14,2
209,English Teacher Abroad,,,False,True,True,False,1,5,3,2,17,3
210,Customer Service Associate ,,,False,True,False,False,1,2,6,4,4,2
211,Customer Service Associate - Part Time,,,False,True,False,False,1,4,6,4,14,2
212,Engagement Executive,Engagement,,False,True,False,False,17,2,6,2,13,7
213,Customer Service Associate  ,,,False,True,False,False,1,2,6,4,14,2
214,Customer Service Associate ,,,False,True,False,False,9,2,6,4,17,10
215,Recruiter/Recruiting Assistant ,,,False,False,False,False,1,3,3,1,1,3
216,IC&E Technician Mt Poso,Oil & Energy,95000-115000,False,True,True,True,1,2,4,4,16,8
217,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
218,Head of Client Services,Management,,False,True,False,False,4,2,8,1,3,6
219,Junior Systems Administrator,Squiz ,,False,True,False,False,5,2,6,5,6,12
220,Corporate Sales Director,Sales,,False,True,False,False,18,2,8,3,13,4
221,Service Delivery Manager 2 ,,,False,True,False,False,1,2,4,4,42,6
222,DN4 Apprentice Admin Assistant Under NAS 16-18 Year Olds Only,,,False,True,True,False,4,2,3,4,1,10
223,Lead Creative Developer,,,False,True,True,False,19,3,3,1,1,3
224,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
225,Customer Service Technical Specialist ,,,False,True,False,False,1,2,6,4,17,2
226,Settlements Analyst,Finance,,False,True,False,False,4,2,6,2,7,25
227,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
228,Telesales ,,,False,False,False,False,4,2,2,5,43,24
229,Branch Associate,,,False,True,True,False,1,2,5,4,19,2
230,Service Desk (Help Desk/ Desktop Support) Tier 1/2 - Healthcare IT,,,False,False,False,False,1,2,5,8,6,7
231,Customer Service Associate ,,,False,True,False,False,1,2,6,4,32,2
232,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
233,Business Admin Apprenticeship Under NAS 16-18 Year Olds Only,,,False,True,True,False,4,2,2,4,1,10
234,Web Support Specialist,,30000-40000,False,True,False,False,4,2,5,2,10,7
235,Postgraduate Certificate in Social Innovation Management Kenya - March 2015,,,False,True,True,False,14,3,3,1,1,3
236,WF5 9HF Recruitment Apprenticeship Available Under NAS 16-24 year olds only!,,,False,True,False,False,4,3,2,4,1,4
237,SharePoint Developer and Administrator,,,False,True,False,False,1,5,4,2,6,7
238,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
239,Nanny,,52000-78000,False,True,True,False,20,2,2,5,17,5
240,"Production Supervisor - Chemical Manufacturing Exp - St. Louis, MO",,,False,False,False,False,1,2,3,1,1,3
241,Customer Service Associate ,,,False,True,False,False,1,2,6,4,7,2
242,Investor Sales Analyst,Financial,30000-40000,False,True,True,False,4,2,5,2,7,25
243,Area Vehicle Purchaser,Retail,15750-15750,False,False,True,False,4,2,2,5,44,4
244,English Teacher Overseas,,,False,True,False,False,21,5,3,2,17,3
245,Senior Industrial Hygiene Project Manager,,,False,False,False,False,1,3,3,1,1,3
246,Junior Funding Specialist (Sales),Business Development,30000-40000,False,True,True,False,4,2,6,2,7,15
247,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
248,Head of Communications,Marketing and Communications,40000-65000,False,True,True,False,4,2,4,2,7,22
249,Head of Investor Development,Financial,,False,True,True,False,4,2,4,2,7,4
250,IT Engineer,Tech,,False,True,False,False,4,2,3,1,1,3
251,Helpdesk Specialist,,45000-50000,False,True,False,False,2,2,3,1,6,7
252,Senior Product Manager ,,,False,True,False,False,4,2,5,2,3,7
253,Food Quality,,,False,False,False,False,1,2,3,1,1,3
254,Graduates: English Teacher Abroad ,,,False,True,False,False,1,5,3,2,17,3
255,CNC Programmer,,,False,False,False,False,1,2,3,1,1,3
256,Risk Analyst,Financial,30000-37000,False,True,True,False,4,2,5,2,7,25
257,Content Marketer,Marketing,,False,True,False,False,1,2,3,1,6,1
258, Executive Assistant / Office Manager,,,False,True,False,False,1,2,2,5,10,10
259,Driver II ,,,False,True,False,False,1,2,6,4,7,26
260,Product Strategist,,,False,False,True,False,1,2,4,5,6,16
261,Chelmsford Customer Service Apprenticeship Under NAS 16-18 Year Olds Only,,,False,True,True,False,4,3,2,4,1,2
262,Data Entry/Customer Service Rep,,0-0,False,False,True,False,1,2,6,4,1,2
263,Senior Loan Originator,,,False,True,True,False,1,2,4,5,7,4
264,WF4 4DS Customer Service Apprenticeship Under NAS 16-18 Year Olds Only,,,False,True,False,False,4,2,2,4,1,2
265,Senior Programme Analyst,,,False,False,False,False,1,5,4,1,6,7
266,Office Manager/Executive Assistant,,,False,True,False,False,1,3,3,1,1,3
267,Assistant Retail Manager -- Must LOVE Dogs,,,False,False,False,False,1,3,3,1,1,3
268,Customer Service Associate ,,,False,True,False,False,1,2,6,4,7,10
269,Front-end Developer,,,False,True,False,False,13,2,4,1,10,3
270,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
271,Security Researcher,Research,,False,True,False,False,1,3,3,1,1,27
272,Job Fair - Multiple Oil & Gas Jobs!,,,False,True,False,False,1,2,3,1,16,3
273,Regional Field Sales Representative,,,False,False,False,False,1,2,3,1,2,3
274,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
275,Certification & HALT testing Manager,tech,,False,True,True,False,3,2,3,1,1,3
276,"Software Engineer, iOS and Android",,,False,True,True,False,22,2,2,3,3,3
277,Account Executive ,Connectivity,,False,True,False,False,1,2,4,2,10,4
278,Automated Test Analyst,,,False,True,True,False,2,2,5,1,10,7
279,Graduates: English Teacher Abroad ,,,False,True,False,False,1,5,3,2,17,3
280,Account Manager - New York City,Sales,,False,True,True,False,1,2,4,2,6,4
281,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
282,"Director, PMO",PMO,,False,True,True,False,1,2,8,2,3,20
283,"Full-Time Caregiver (Position B) for Easygoing, Caring Woman ",,,False,True,True,False,1,2,3,1,1,3
284,Account Manager ,Connectivity,,False,True,False,False,1,2,4,2,3,4
285,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
286,Jr Account Executive,Connectivity,,False,True,False,False,1,2,6,5,3,4
287,Manchester Apprentice Office Administrator Under NAS 16-18 Year Olds Only,,,False,True,True,False,4,2,2,4,1,10
288,Product Designer,Product,,False,True,True,False,1,2,5,2,10,11
289,Outside Sales Professional,,,False,True,False,False,1,3,3,1,18,4
290,"Intern with Google, Microsoft, Facebook and more! at Studyhall.com",,,True,True,True,False,1,1,1,2,3,9
291,Data Scientist,Research,,False,True,False,False,1,3,3,1,1,27
292,Financial Accountant,Finance,,False,True,False,False,1,2,5,2,38,28
293,English Teacher Abroad,,,False,True,True,False,1,5,3,2,17,3
294,Contact Center Representatives,,,False,True,False,False,1,2,6,1,7,3
295,Technical Lead / Architect,,,False,True,True,False,4,2,4,2,45,9
296,Digital Illustrator,Student Beans Mag,,False,True,True,False,4,2,6,2,5,29
297,Battery Expert,tech,,False,True,True,False,3,2,3,1,1,3
298,Mobile Applications Developer,Information Technology Group,,False,True,True,False,1,2,5,2,3,7
299,Sales Representative with Management Training - DirecTV,DTVMA,45000-67000,False,True,False,False,1,2,2,5,14,4
300,Customer Service Associate - Part Time ,,,False,True,False,False,1,4,6,4,14,2
301,Receptionist,,,False,True,False,False,1,2,6,1,7,3
302,Employee at RhodeCode (Berlin),G&A,35000-100000,False,True,False,False,3,2,6,5,3,3
303, RNs Needed ASAP - ER & ICU - APPLY NOW!! ,,,False,True,False,False,1,2,2,5,4,3
304,Electrical Project Engineer,,80000-100000,False,False,False,False,1,2,2,2,46,9
305,Litigation Support Analyst ,,,False,True,False,False,1,2,6,4,32,8
306,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
307,Customer Service Team Lead ,,,False,True,False,False,1,2,6,4,7,2
308,Product Manager Mobile Apps (m/w),tech,,False,True,True,False,3,2,5,1,41,16
309,".NET Developer, Hong Kong",,,False,True,False,False,23,5,2,1,19,7
310,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
311,"Production Manager - Video Production, London",,,False,True,False,False,4,3,3,1,1,3
312,Customer Service Associate - Part Time ,,,False,True,False,False,1,4,6,4,7,10
313,"Sales Manager, Hong Kong",,,False,True,False,False,23,2,4,1,6,4
314,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
315,International Recruitment Manager,Human Resources,180000-216000,False,True,False,False,11,2,4,2,13,19
316,Project Manager ,Implementations,,False,True,True,False,1,2,5,2,6,20
317,Head of Sales (India) ,,,False,True,True,False,10,2,3,1,1,4
318,Account Manager,Client Services,,False,True,True,False,4,2,6,2,10,18
319,Implementation Executive - Digital,,45000-60000,False,True,True,False,5,2,4,2,5,24
320,Engineering Graduate Trainee @ Upstream,Engineering,,False,True,False,False,13,2,3,2,13,9
321,BI / Analytics Lead,OPS,,False,True,False,False,4,2,4,1,5,3
322,General Manager | Managing Partner,,,False,True,False,False,1,2,3,5,22,6
323,Quality Assurance Tester,,45000-65000,False,True,False,False,1,2,5,2,2,30
324,Partnership Manager - High Growth Specialty Finance Company,Partnership Management,,False,True,False,False,1,2,5,2,7,3
325,Strategy Planning Supervisor with Direct Response,Media,70000-90000,False,True,False,False,1,2,4,2,2,23
326,Head of Quality Assurance,,,False,True,False,False,14,3,3,1,1,3
327,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
328,Senior Frontend Developer,Tech,,False,True,True,False,13,2,4,2,10,9
329,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
330,Digital and Social Marketing Specialist,Marketing,,False,True,True,False,1,2,5,2,10,1
331,Graduates: English Teacher Abroad ,,,False,True,False,False,1,5,3,2,17,3
332,Application Security Consultant,Professional Services,,False,True,False,False,1,3,3,1,1,3
333,TwiML Application Developer - Freelance (Contract),,,True,True,True,False,1,5,3,1,1,3
334,Senior Customer Care Advisor,Customer Care,,False,True,False,False,24,2,5,2,10,2
335,IT Consultant/Engineer Position Available,,40000-50000,False,True,False,False,1,2,6,1,6,7
336,Product Marketing Manager/Director,Marketing,,False,True,False,False,1,3,3,1,1,1
337,Sales Trainee,Sales,,False,True,False,False,16,1,1,4,6,4
338,Customer Service Associate ,,,False,True,False,False,1,2,6,4,32,10
339,Graduates: English Teacher Abroad (Conversational),,,False,True,True,False,1,5,6,2,17,13
340,Principal Security Consultant / Penetration Tester,Professional Services,,False,True,False,False,1,3,3,1,1,3
341,Account Manager -Xbox,Account Management,28000-32000,False,True,True,False,4,2,3,1,2,28
342,GPS/GNSS signal processing,EC,,False,True,True,False,1,6,3,1,1,3
343,Farmer Experience Manager,,,False,True,False,False,1,2,8,2,31,2
344,Quality Assurance (QA) Engineer,Solution Test,0-1000,False,True,False,False,13,2,4,2,13,30
345,Graduates: English Teacher Abroad ,,,False,True,False,False,1,5,3,2,17,3
346,Kindergarten Teacher,,36000-40000,False,True,False,False,20,2,2,5,47,13
347,Retail Territory Merchandiser,Grocery Stores,,False,False,True,False,9,3,3,1,1,3
348,English Teacher Abroad ,,,False,True,True,False,1,5,3,2,17,3
349,Community Ambassador German-speaking (Remote),Marketing,,False,True,False,False,3,3,3,1,1,1
350,Embedded Systems / Telematics Security Consultant,Professional Services,,False,True,False,False,14,3,3,1,1,3
351,Global Sourcing Buyer,,,False,True,False,False,1,2,5,1,48,14
352,Digital Product Designer,,80000-110000,False,True,True,False,5,2,3,1,49,11
